,Year,Company,Category,Market Cap(in B USD),Revenue,Gross Profit,Net Income,Earning Per Share,EBITDA,Share Holder Equity,Cash Flow from Operating,Cash Flow from Investing,Cash Flow from Financial Activities,Current Ratio,Debt/Equity Ratio,ROE,ROA,ROI,Net Profit Margin,Free Cash Flow per Share,Return on Tangible Equity,Number of Employees,Inflation Rate(in US),Total Assets,Asset Turnover,Total Debt,Operating Margin,P/E Ratio,P/B Ratio
42,2009,GOOG,IT,195.27,23651.0,14807.0,6520.0,0.5103,9836.0,36004.0,9316.0,-8019.0,233.0,10.6178,0.0,18.1091,16.1,18.1091,27.5675,0.6657,21.4997,19835,-0.3555,36004.0,0.6568992334185091,0.0,0.41588093526700776,29.949386503067483,5.423564048439062
43,2022,PYPL,FinTech,81.19,27518.0,11653.0,2419.0,2.09,5154.0,20274.0,5813.0,-3421.0,-1110.0,1.2753,0.5138,11.9315,3.073,7.8818,8.7906,0.288,29.2256,29900,8.0028,30690.7812,0.8966210348532933,10416.781200000001,0.18729558834217602,33.56345597354279,4.004636480220973
44,2021,PYPL,FinTech,221.57,25371.0,11921.0,4169.0,3.52,5527.0,21727.0,5797.0,-5149.0,-557.0,1.2218,0.3705,19.1881,5.4998,14.0012,16.4322,-0.4843,46.6279,30900,4.6979,29776.8535,0.8520376405787804,8049.8535,0.21784714831894683,53.14703765891101,10.197910434022184
45,2020,PYPL,FinTech,274.41,21454.0,10001.0,4202.0,3.54,4478.0,20063.0,6219.0,-16545.0,12454.0,1.3264,0.4455,20.944,5.9705,14.4887,19.5861,1.7623,42.5304,26500,1.2336,29001.0665,0.7397658979196506,8938.0665,0.20872564556726017,65.30461684911947,13.677416139161643
46,2019,PYPL,FinTech,127.01,17772.0,7987.0,2459.0,2.07,3631.0,16929.0,4071.0,-5742.0,4187.0,1.43,0.2933,14.5254,4.7903,11.2314,13.8364,-1.0251,24.7409,23200,1.8122,21894.2757,0.8117190193233933,4965.2757,0.2043101507990097,51.65107767385116,7.502510484966625
47,2018,PYPL,FinTech,99.09,15451.0,7189.0,2057.0,1.71,2970.0,15386.0,5480.0,821.0,-1240.0,1.2725,0.1299,13.3693,4.7471,13.3693,13.3131,2.347,24.852,21800,2.4426,17384.641399999997,0.8887730062697757,1998.6413999999997,0.19222056824800984,48.17209528439475,6.44027037566619
48,2017,PYPL,FinTech,88.48,13094.0,6399.0,1795.0,1.47,2932.0,15994.0,2531.0,-4485.0,4084.0,1.4279,0.0625,11.223,4.4023,11.223,13.7086,-0.5169,15.6264,18700,2.1301,16993.625,0.7705242407079125,999.625,0.22391935237513366,49.2924791086351,5.53207452794798
49,2016,PYPL,FinTech,47.63,10842.0,5141.0,1401.0,1.15,2310.0,14712.0,3158.0,-5904.0,2038.0,1.5246,0.0,9.5228,4.2322,9.5228,12.922,0.5382,13.417,18100,1.2616,14712.0,0.7369494290375204,0.0,0.21306032097399003,33.9971448965025,3.2374932028276238
50,2015,PYPL,FinTech,44.23,9248.0,4719.0,1228.0,1.0,2069.0,13759.0,2546.0,-8038.0,4728.0,1.5163,0.0,8.9251,4.2519,8.9251,13.2786,0.0935,13.159,16800,0.1186,13759.0,0.6721418707754924,0.0,0.22372404844290658,36.01791530944625,3.2146231557525984
51,2014,PYPL,FinTech,,8025.0,4218.0,419.0,0.34,1784.0,8248.0,2220.0,-2881.0,1284.0,1.3224,0.1325,5.08,1.9118,5.08,5.2212,0.103,8.5458,15800,1.6222,9340.86,0.8591286027196638,1092.8600000000001,0.22230529595015577,,
52,2022,AIG,Bank,46.99,56437.0,20762.0,10247.0,13.01,20640.0,42235.0,4207.0,-3626.0,-676.0,1.0,0.6435,27.0084,2.1411,16.2446,18.1565,-1.9207,26.6982,26200,8.0028,69413.2225,0.8130583477809289,27178.2225,0.3657175257366621,4.585732409485703,1.1125843494731857
53,2021,AIG,Bank,47.21,52057.0,15322.0,9359.0,10.82,15382.0,68912.0,6279.0,-3280.0,-3735.0,1.0,0.4377,14.5016,1.6646,10.0157,17.9784,6.0658,14.3995,36600,4.6979,99074.7824,0.5254313836373362,30162.7824,0.2954837966075648,5.04434234426755,0.6850766194566984
54,2020,AIG,Bank,32.62,43736.0,6912.0,-5973.0,-6.88,6821.0,67199.0,1038.0,-6202.0,5058.0,1.0,0.5586,-8.7433,-0.9946,-5.5694,-13.6569,3.2256,-8.6802,45000,1.2336,104736.3614,0.41758181605113504,37537.3614,0.15595847814157673,-5.461242256822366,0.4854238902364618
55,2019,AIG,Bank,44.65,49746.0,11975.0,3326.0,3.74,11817.0,67427.0,-1807.0,-5475.0,7258.0,1.0,0.5243,6.1561,0.7849,4.0097,6.686,-1.5986,6.1118,46000,1.8122,102778.9761,0.4840094918984117,35351.9761,0.23754673742612473,13.424533974744438,0.662197635961855
56,2018,AIG,Bank,34.86,47389.0,6921.0,-6.0,-0.01,6897.0,57309.0,-394.0,-223.0,1249.0,1.0,0.6027,0.1797,0.0209,0.1121,-0.0127,7.9685,0.1797,49600,2.4426,91849.1343,0.5159438938772882,34540.1343,0.14554010424360084,-5810.0,0.6082814217662147
57,2017,AIG,Bank,53.56,49520.0,6849.0,-6084.0,-6.54,6435.0,65708.0,-7818.0,14041.0,-5697.0,1.0,0.4815,-9.2226,-1.2161,-6.2251,-12.2859,-11.611,-9.2226,49800,2.1301,97346.402,0.5086988217602536,31638.402,0.1299474959612278,-8.803418803418804,0.8151214463992208
58,2016,AIG,Bank,67.08,52367.0,5236.0,-849.0,-0.78,4805.0,76858.0,3502.0,3252.0,-6833.0,1.0,0.4022,-0.337,-0.052,-0.2403,-1.6213,1.0537,-0.337,56400,1.2616,107770.28760000001,0.4859131507040721,30912.2876,0.09175625871254797,-79.01060070671377,0.8727783705014442
59,2015,AIG,Bank,76.66,58327.0,10565.0,2196.0,1.65,9958.0,90210.0,2877.0,8462.0,-11429.0,1.0,0.3242,2.4631,0.4472,1.8601,3.765,-1.303,2.4631,66400,0.1186,119456.08200000001,0.48827149713482143,29246.082,0.17072710751453016,34.90892531876138,0.8497949229575436
60,2014,AIG,Bank,78.41,64406.0,19219.0,7529.0,5.2,16752.0,107272.0,5007.0,14284.0,-19788.0,1.0,0.291,7.0606,1.469,5.469,11.6899,-0.5007,7.0606,65000,1.6222,138488.152,0.46506505480699895,31216.152,0.2600999906840978,10.414397662372162,0.7309456335297189
61,2013,AIG,Bank,75.16,68874.0,21915.0,9085.0,6.13,16922.0,101081.0,5865.0,7099.0,-11758.0,1.0,0.4125,8.9117,1.6641,6.3093,13.1908,1.7809,8.9117,64000,1.4648,142776.9125,0.4823889156448876,41695.9125,0.24569503731451636,8.272977435332967,0.7435620937663854
62,2012,AIG,Bank,52.11,71214.0,21825.0,3438.0,2.04,19327.0,98669.0,3676.0,16612.0,-20564.0,1.0,0.4915,3.7489,0.6742,2.5134,4.8277,2.2237,3.7489,63000,2.0693,147164.81350000002,0.48390643324533544,48495.8135,0.27139326536916897,15.157068062827225,0.5281294023452148
63,2011,AIG,Bank,44.06,65105.0,18692.0,19810.0,11.01,15225.0,102393.0,-81.0,36448.0,-36926.0,1.0,0.7349,18.4222,3.4107,10.6183,30.4278,-121.5022,18.4222,57000,3.1568,177641.61570000002,0.3664963288216703,75248.6157,0.23385300668151449,2.2241292276627966,0.4303028527340736
64,2010,AIG,Bank,7.79,72829.0,16787.0,2046.0,14.98,21166.0,113239.0,16597.0,-9912.0,-9261.0,1.0,0.7548,32.1262,1.9393,6.6699,2.8093,-15.8715,11.7045,63000,1.64,198711.7972,0.3665056681395663,85472.7972,0.2906259869008225,3.8074291300097753,0.06879255380213531
68,2020,PCG,Manufacturing,24.1,18469.0,14571.0,-1318.0,-1.05,5223.0,21253.0,-19130.0,-7748.0,25928.0,0.707,1.9227,-6.1356,-1.3326,-2.2275,-7.1363,-18.5013,-6.1356,24000,1.2336,62116.143099999994,0.2973301154623685,40863.1431,0.2827982023931994,-18.28528072837633,1.1339575589328565
